# reciterId	riwaya	baseUrlTemplate	priority	ayahCounting
# الأولوية: 1 قالون · 2 ورش · 3 البصريان وشعبة · 4 حفص
# ayahCounting=unverified: عدّ ملفات السور لا يُسبَر بـHEAD
#   (ملفه واحد للسورة كلها)؛ يُحسم بمحاذاة D-025. ولقراء
#   آية-بآية مسبارٌ خاص: probe_counting.py ← non_kufi.tsv
# الروايات الست كلها مدعومة (وُسّع --riwaya في 2026-09-01).
h_aldaghriri	hafs	https://server16.mp3quran.net/H-Aldaghriri/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
h_saleh	hafs	https://server16.mp3quran.net/h_saleh/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
habdan	hafs	https://server6.mp3quran.net/habdan/{surah:03d}.mp3	4	unverified
hafz	hafs	https://server6.mp3quran.net/hafz/{surah:03d}.mp3	4	unverified
hamza	hafs	https://server9.mp3quran.net/hamza/{surah:03d}.mp3	4	unverified
harthi	hafs	https://server8.mp3quran.net/harthi/{surah:03d}.mp3	4	unverified
hatem	hafs	https://server11.mp3quran.net/hatem/{surah:03d}.mp3	4	unverified
hawashi	hafs	https://server11.mp3quran.net/hawashi/{surah:03d}.mp3	4	unverified
hkm	hafs	https://server12.mp3quran.net/hkm/{surah:03d}.mp3	4	unverified
i_sanankoua	hafs	https://server16.mp3quran.net/i_sanankoua/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
ibrahim_dosri	hafs	https://server10.mp3quran.net/ibrahim_dosri/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
j_abdullah	hafs	https://server16.mp3quran.net/J-Abdullah/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
jaleel	hafs	https://server10.mp3quran.net/jleel/{surah:03d}.mp3	4	unverified
jamal	hafs	https://server6.mp3quran.net/jamal/{surah:03d}.mp3	4	unverified
jaman	hafs	https://server6.mp3quran.net/jaman/{surah:03d}.mp3	4	unverified
jormy	hafs	https://server11.mp3quran.net/jormy/{surah:03d}.mp3	4	unverified
k_alzadi	hafs	https://server16.mp3quran.net/K-Alzadi/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
kafi	hafs	https://server11.mp3quran.net/kafi/{surah:03d}.mp3	4	unverified
kamel	hafs	https://server16.mp3quran.net/kamel/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
kanakeri	hafs	https://server6.mp3quran.net/kanakeri/{surah:03d}.mp3	4	unverified
kh_mohammadi	hafs	https://server16.mp3quran.net/kh_mohammadi/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
khalf	hafs	https://server14.mp3quran.net/khalf/{surah:03d}.mp3	4	unverified
khan	hafs	https://server6.mp3quran.net/khan/{surah:03d}.mp3	4	unverified
kurdi	hafs	https://server6.mp3quran.net/kurdi/{surah:03d}.mp3	4	unverified
kyat	hafs	https://server12.mp3quran.net/kyat/{surah:03d}.mp3	4	unverified
lahoni	hafs	https://server6.mp3quran.net/lahoni/{surah:03d}.mp3	4	unverified
lhdan	hafs	https://server8.mp3quran.net/lhdan/{surah:03d}.mp3	4	unverified
m_abdelhakam	hafs	https://server16.mp3quran.net/m_abdelhakam/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
m_alfaqih	hafs	https://server16.mp3quran.net/M_Alfaqih/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
m_alzubaidi	hafs	https://server16.mp3quran.net/M-AlZubaidi/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
m_burhaji	hafs	https://server16.mp3quran.net/M_Burhaji/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
m_harfoush	hafs	https://server16.mp3quran.net/M-Harfoush/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
m_qari	hafs	https://server8.mp3quran.net/m_qari/{surah:03d}.mp3	4	unverified
mal_allah_jaber	hafs	https://server16.mp3quran.net/mal-allah_jaber/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
mansor	hafs	https://server14.mp3quran.net/mansor/{surah:03d}.mp3	4	unverified
mhsny	hafs	https://server11.mp3quran.net/mhsny/{surah:03d}.mp3	4	unverified
mohna	hafs	https://server11.mp3quran.net/mohna/{surah:03d}.mp3	4	unverified
mohsin_harthi	hafs	https://server6.mp3quran.net/mohsin_harthi/{surah:03d}.mp3	4	unverified
mousa	hafs	https://server14.mp3quran.net/mousa/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
mrifai	hafs	https://server11.mp3quran.net/mrifai/{surah:03d}.mp3	4	unverified
muftah_sultany	hafs	https://server14.mp3quran.net/muftah_sultany/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
mukhtar_haj	hafs	https://server16.mp3quran.net/mukhtar_haj/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
mustafa	hafs	https://server8.mp3quran.net/mustafa/{surah:03d}.mp3	4	unverified
nabil	hafs	https://server9.mp3quran.net/nabil/{surah:03d}.mp3	4	unverified
namh	hafs	https://server8.mp3quran.net/namh/{surah:03d}.mp3	4	unverified
nasser_almajed	hafs	https://server14.mp3quran.net/nasser_almajed/{surah:03d}.mp3	4	unverified
nathier	hafs	https://server16.mp3quran.net//nathier/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
noah	hafs	https://server8.mp3quran.net/noah/{surah:03d}.mp3	4	unverified
nufais	hafs	https://server16.mp3quran.net/nufais/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
obk	hafs	https://server12.mp3quran.net/obk/{surah:03d}.mp3	4	unverified
peshawa	hafs	https://server16.mp3quran.net/peshawa/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
qasm	hafs	https://server8.mp3quran.net/qasm/{surah:03d}.mp3	4	unverified
qurashi	hafs	https://server9.mp3quran.net/qurashi/{surah:03d}.mp3	4	unverified
ra3ad	hafs	https://server8.mp3quran.net/ra3ad/{surah:03d}.mp3	4	unverified
rami	hafs	https://server6.mp3quran.net/rami/{surah:03d}.mp3	4	unverified
rashad	hafs	https://server10.mp3quran.net/rashad/{surah:03d}.mp3	4	unverified
ryan	hafs	https://server8.mp3quran.net/ryan/{surah:03d}.mp3	4	unverified
s_alquraishi	hafs	https://server16.mp3quran.net/s_alquraishi/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
s_hashemi	hafs	https://server16.mp3quran.net/s_hashemi/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
s_sadeiq	hafs	https://server16.mp3quran.net/s_sadeiq/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
saad	hafs	https://server16.mp3quran.net/saad/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
saber	hafs	https://server8.mp3quran.net/saber/{surah:03d}.mp3	4	unverified
sahood	hafs	https://server8.mp3quran.net/sahood/{surah:03d}.mp3	4	unverified
salah_hashim_m	hafs	https://server12.mp3quran.net/salah_hashim_m/{surah:03d}.mp3	4	unverified
sayed	hafs	https://server12.mp3quran.net/sayed/{surah:03d}.mp3	4	unverified
shah	hafs	https://server12.mp3quran.net/shah/{surah:03d}.mp3	4	unverified
shaheen	hafs	https://server16.mp3quran.net/shaheen/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
shaksh	hafs	https://server10.mp3quran.net/shaksh/{surah:03d}.mp3	4	unverified
shamrani	hafs	https://server16.mp3quran.net/shamrani/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
shatri2	hafs	https://server11.mp3quran.net/shatri/{surah:03d}.mp3	4	unverified
soufi	hafs	https://server16.mp3quran.net/soufi/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
swlim	hafs	https://server14.mp3quran.net/swlim/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
taher	hafs	https://server12.mp3quran.net/taher/{surah:03d}.mp3	4	unverified
tblawi	hafs	https://server12.mp3quran.net/tblawi/{surah:03d}.mp3	4	unverified
thubti	hafs	https://server6.mp3quran.net/thubti/{surah:03d}.mp3	4	unverified
trabulsi	hafs	https://server10.mp3quran.net/trabulsi/{surah:03d}.mp3	4	unverified
twfeeq	hafs	https://server6.mp3quran.net/twfeeq/{surah:03d}.mp3	4	unverified
wdee3	hafs	https://server6.mp3quran.net/wdee3/{surah:03d}.mp3	4	unverified
wdod	hafs	https://server8.mp3quran.net/wdod/{surah:03d}.mp3	4	unverified
yahya	hafs	https://server12.mp3quran.net/yahya/{surah:03d}.mp3	4	unverified
yousef	hafs	https://server9.mp3quran.net/yousef/{surah:03d}.mp3	4	unverified
zahrani	hafs	https://server9.mp3quran.net/zahrani/{surah:03d}.mp3	4	unverified
zaki	hafs	https://server9.mp3quran.net/zaki/{surah:03d}.mp3	4	unverified
zaml	hafs	https://server9.mp3quran.net/zaml/{surah:03d}.mp3	4	unverified
